Accession_ID,Selected
ID11361,True
ID11365,True
ID11370,True
ID11373,True
ID11382,True
ID11385,True
ID11386,True
ID11388,True
ID11390,True
ID11393,True
ID11399,True
ID11401,True
ID11404,True
ID11405,True
ID11413,True
ID11415,True
ID11416,True
ID11417,True
ID11420,True
ID11423,True
ID11424,True
ID11430,True
ID11442,True
ID11448,True
ID11454,True
ID11456,True
ID11461,True
ID11469,True
ID11473,True
ID11475,True
ID11481,True
ID11482,True
ID11486,True
ID11488,True
ID11490,True
ID11507,True
ID11512,True
ID11525,True
ID11526,True
ID11534,True
ID11538,True
ID11543,True
ID11544,True
ID11545,True
ID11554,True
ID11560,True
ID11574,True
ID11577,True
ID11581,True
ID11587,True
ID11590,True
ID11596,True
ID11598,True
ID11607,True
ID11610,True
ID11611,True
ID11616,True
ID11620,True
ID11625,True
ID11626,True
ID11630,True
ID11637,True
ID11642,True
ID11650,True
ID11662,True
ID11675,True
ID11677,True
ID11682,True
ID11690,True
ID11691,True
ID11696,True
ID11697,True
ID11702,True
ID11705,True
ID11709,True
ID11718,True
ID11734,True
ID11743,True
ID11744,True
ID11754,True
ID11757,True
ID11762,True
ID11770,True
ID11771,True
ID11775,True
ID11777,True
ID11778,True
ID11779,True
ID11786,True
ID11790,True
ID11793,True
ID11795,True
ID11809,True
ID11829,True
ID11834,True
ID11835,True
ID11845,True
ID11852,True
ID11854,True
ID11859,True
ID11860,True
ID11884,True
ID11890,True
ID11892,True
ID11896,True
ID11903,True
ID11914,True
ID11918,True
ID11920,True
ID11925,True
ID11926,True
ID11933,True
ID11937,True
ID11940,True
ID11944,True
ID11947,True
ID11951,True
ID11960,True
ID11965,True
ID11966,True
ID11969,True
ID11972,True
ID11985,True
ID11987,True
ID11992,True
ID11995,True
ID12001,True
ID12002,True
ID12006,True
ID12008,True
ID12013,True
ID12014,True
ID12024,True
ID12027,True
ID12028,True
ID12039,True
ID12042,True
ID12045,True
ID12057,True
ID12061,True
ID12073,True
ID12075,True
ID12080,True
ID12081,True
ID12087,True
ID12093,True
ID12094,True
ID12095,True
ID12103,True
ID12107,True
ID12109,True
ID12120,True
ID12121,True
ID12122,True
ID12126,True
ID12127,True
ID12129,True
ID12131,True
ID12133,True
ID12137,True
ID12139,True
ID12140,True
ID12141,True
ID12145,True
ID12147,True
ID12149,True
ID12169,True
ID12176,True
ID12178,True
ID12182,True
ID12185,True
ID12195,True
ID12198,True
ID12199,True
ID12203,True
ID12209,True
ID12212,True
ID12217,True
ID12218,True
ID12219,True
ID12221,True
ID12222,True
ID12229,True
ID12232,True
ID12233,True
ID12239,True
ID12244,True
ID12253,True
ID12275,True
ID12280,True
ID12281,True
ID12284,True
ID12289,True
ID12294,True
ID12296,True
ID12297,True
ID12302,True
ID12303,True
ID12308,True
ID12310,True
ID12312,True
ID12317,True
ID12320,True
ID12327,True
ID12331,True
ID12336,True
ID12338,True
ID12342,True
ID12346,True
ID12349,True
ID12352,True
ID12370,True
ID12372,True
ID12378,True
ID12392,True
ID12397,True
ID12398,True
ID12406,True
ID12412,True
ID12416,True
ID12422,True
ID12439,True
ID12440,True
ID12443,True
ID12465,True
ID12472,True
ID12476,True
ID12491,True
ID12501,True
ID12509,True
ID12516,True
ID12524,True
ID12526,True
ID12527,True
ID12528,True
ID12535,True
ID12544,True
ID12547,True
ID12555,True
ID12569,True
ID12572,True
ID12575,True
ID12586,True
ID12587,True
ID12588,True
ID12596,True
ID12600,True
ID12609,True
